1,i,t
531,i,x,t
532,i,x,t
533,i,x,t
534,i,x,t
535,i,x,t
536,i,x,t
537,i,x,t
538,i,x,t
539,i,x,t
540,i,x,t
541,i,x,t
542,i,x,t
543,i,x,t
544,i,x,t
545,i,x,t
546,i,x,t
547,i,x,t
548,i,x,t
549,i,x,t
550,i,x,t
551,i,x,t
552,i,x,t
553,i,x,t
554,i,x,t
555,i,x,t
556,i,x,t
557,i,x,t
558,i,x,t
559,i,x,t
560,i,x,t
561,i,x,t
562,i,x,t
563,i,x,t
564,i,x,t
565,i,x,t
566,i,x,t
567,i,x,t
568,i,x,t
569,i,x,t
570,i,x,t
571,i,x,t
572,i,x,t
573,i,x,t
574,i,x,t
575,i,x,t
576,i,x,t
577,i,x,t
578,i,x,t
579,i,x,t
580,i,x,t
581,i,x,t
582,i,x,t
583,i,x,t
584,i,x,t
585,i,x,t
586,i,x,t
587,i,x,t
588,i,x,t
589,i,x,t
590,i,x,t
591,i,x,t
592,i,x,t
593,i,x,t
594,i,x,t
595,i,x,t
596,i,x,t
597,i,x,t
598,i,x,t
599,i,x,t
600,i,x,t
601,i,x,t
602,i,x,t
603,i,x,t
604,i,x,t
605,i,x,t
606,i,x,t
607,i,x,t
608,i,x,t
609,i,x,t
610,i,x,t
611,i,x,t
612,i,x,t
613,i,x,t
614,i,x,t
615,i,x,t
616,i,x,t
617,i,x,t
618,i,x,t
619,i,x,t
620,i,x,t
621,i,x,t
622,i,x,t
623,i,x,t
624,i,x,t
625,i,x,t
626,i,x,t
627,i,x,t
628,i,x,t
629,i,x,t
630,i,x,t
631,i,x,t
632,i,x,t
633,i,x,t
634,i,x,t
635,i,x,t
636,i,x,t
637,i,x,t
638,i,x,t
639,i,x,t
640,i,x,t
641,i,x,t
642,i,x,t
643,i,x,t
644,i,x,t
645,i,x,t
646,i,x,t
647,i,x,t
648,i,x,t
649,i,x,t
650,i,x,t
651,i,x,t
652,i,x,t
653,i,x,t
654,i,x,t
655,i,x,t
656,i,x,t
657,i,x,t
658,i,x,t
659,i,x,t
660,i,x,t
661,i,x,t
662,i,x,t
663,i,x,t
664,i,x,t
665,i,x,t
666,i,x,t
667,i,x,t
668,i,x,t
669,i,x,t
670,i,x,t
671,i,x,t
672,i,x,t
673,i,x,t
674,i,x,t
675,i,x,t
676,i,x,t
677,i,x,t
678,i,x,t
679,i,x,t
680,i,x,t
681,i,x,t
682,i,x,t
683,i,x,t
684,i,x,t
685,i,x,t
686,i,x,t
687,i,x,t
688,i,x,t
689,i,x,t
690,i,x,t
691,i,x,t
692,i,x,t
693,i,x,t
694,i,x,t
695,i,x,t
696,i,x,t
697,i,x,t
698,i,x,t
699,i,x,t
700,i,x,t
701,i,x,t
702,i,x,t
703,i,x,y,t
704,i,x,y,t
705,i,x,y,t
706,i,x,y,t
707,i,x,y,t
708,i,x,y,t
709,i,x,y,t
710,i,x,y,t
711,i,x,y,t
712,i,x,y,t
713,i,x,y,t
714,i,x,y,t
715,i,x,y,t
716,i,x,y,t
717,i,x,y,t
718,i,x,y,t
719,i,x,y,t
720,i,x,y,t
721,i,x,y,t
722,i,x,y,t
723,i,x,y,t
724,i,x,y,t
725,i,x,y,t
726,i,x,y,t
727,i,x,y,t
728,i,x,y,t
729,i,x,y,t
730,i,x,y,t
731,i,x,y,t
732,i,x,y,t
733,i,x,y,t
734,i,x,y,t
735,i,x,y,t
736,i,x,y,t
737,i,x,y,t
738,i,x,y,t
739,i,x,y,t
740,i,x,y,t
741,i,x,y,t
742,i,x,y,t
743,i,x,y,t
744,i,x,y,t
745,i,x,y,t
746,i,x,y,t
747,i,x,y,t
748,i,x,y,t
749,i,x,y,t
750,i,x,y,t
751,i,x,y,t
752,i,x,y,t
753,i,x,y,t
754,i,x,y,t
755,i,x,y,t
756,i,x,y,t
757,i,x,y,t
758,i,x,y,t
759,i,x,y,t
760,i,x,y,t
761,i,x,y,t
762,i,x,y,t
763,i,x,y,t
764,i,x,y,t
765,i,x,y,t
766,i,x,y,t
767,i,x,y,t
768,i,x,y,t
769,i,x,y,t
770,i,x,y,t
771,i,x,y,t
772,i,x,y,t
773,i,x,y,t
774,i,x,y,t
775,i,x,y,t
776,i,x,y,t
777,i,x,y,t
778,i,x,y,t
779,i,x,y,t
780,i,x,y,t
781,i,x,y,t
782,i,x,y,t
783,i,x,y,t
784,i,x,y,t
785,i,x,y,t
786,i,x,y,t
787,i,x,y,t
788,i,x,y,t
789,i,x,y,t
790,i,x,y,t
791,i,x,y,t
792,i,x,y,t
793,i,x,y,t
794,i,x,y,t
795,i,x,y,t
796,i,x,y,t
797,i,x,y,t
798,i,x,y,t
799,i,x,y,t
800,i,x,y,t
801,i,x,y,t
802,i,x,y,t
803,i,x,y,t
804,i,x,y,t
805,i,x,y,t
806,i,x,y,t
807,i,x,y,t
808,i,x,y,t
809,i,x,y,t
810,i,x,y,t
811,i,x,y,t
812,i,x,y,t
813,i,x,y,t
814,i,x,y,t
815,i,x,y,t
816,i,x,y,t
817,i,x,y,t
818,i,x,y,t
819,i,x,y,t
820,i,x,y,t
821,i,x,y,t
822,i,x,y,t
823,i,x,y,t
824,i,x,y,t
825,i,x,y,t
826,i,x,y,t
827,i,x,y,t
828,i,x,y,t
829,i,x,y,t
830,i,x,y,t
831,i,x,y,t
832,i,x,y,t
833,i,x,y,t
834,i,x,y,t
835,i,x,y,t
836,i,x,y,t
837,i,x,y,t
838,i,x,y,t
839,i,x,y,t
840,i,x,y,t
841,i,x,y,t
842,i,x,y,t
843,i,x,y,t
844,i,x,y,t
845,i,x,y,t
846,i,x,y,t
847,i,x,y,t
848,i,x,y,t
849,i,x,y,t
850,i,x,y,t
851,i,x,y,t
852,i,x,y,t
853,i,x,y,t
854,i,x,y,t
855,i,x,y,t
856,i,x,y,t
857,i,x,y,t
858,i,x,y,t
859,i,x,y,t
860,i,x,y,t
861,i,x,y,t
862,i,x,y,t
863,i,x,y,t
864,i,x,y,t
865,i,x,y,t
866,i,x,y,t
867,i,x,y,t
868,i,x,y,t
869,i,x,y,t
870,i,x,y,t
871,i,x,y,t
872,i,x,y,t
873,i,x,y,t
874,i,x,y,t
875,i,x,y,t
876,i,x,y,t
877,i,x,y,t
878,i,x,y,t
879,i,x,y,t
880,i,x,y,t
881,i,x,y,t
882,i,x,y,t
883,i,x,y,t
884,i,x,y,t
885,i,x,y,t
886,i,x,y,t
887,i,x,y,t
888,i,x,y,t
889,i,x,y,t
890,i,x,y,t
891,i,x,y,t
892,i,x,y,t
893,i,x,y,t
894,i,x,y,t
895,i,x,y,t
896,i,x,y,t
897,i,x,y,t
898,i,x,y,t
899,i,x,y,t
900,i,x,y,t
901,i,x,y,t
902,i,x,y,t
903,i,x,y,t
904,i,x,y,t
905,i,x,y,t
906,i,x,y,t
907,i,x,y,t
908,i,x,y,t
909,i,x,y,t
910,i,x,y,t
911,i,x,y,t
912,i,x,y,t
913,i,x,y,t
914,i,x,y,t
915,i,x,y,t
916,i,x,y,t
917,i,x,y,t
918,i,x,y,t
919,i,x,y,t
920,i,x,y,t
921,i,x,y,t
922,i,x,y,t
923,i,x,y,t
924,i,x,y,t
925,i,x,y,t
926,i,x,y,t
927,i,x,y,t
928,i,x,y,t
929,i,x,y,t
930,i,x,y,t
931,i,x,y,t
932,i,x,y,t
933,i,x,y,t
934,i,x,y,t
935,i,x,y,t
936,i,x,y,t
937,i,x,y,t
938,i,x,y,t
939,i,x,y,t
940,i,x,y,t
941,i,x,y,t
942,i,x,y,t
943,i,x,y,t
944,i,x,y,t
945,i,x,y,t
946,i,x,y,t
947,i,x,y,t
948,i,x,y,t
949,i,x,y,t
950,i,x,y,t
951,i,x,y,t
952,i,x,y,t
953,i,x,y,t
954,i,x,y,t
955,i,x,y,t
956,i,x,y,t
957,i,x,y,t
958,i,x,y,t
959,i,x,y,t
960,i,x,y,t
961,i,x,y,t
962,i,x,y,t
963,i,x,y,t
964,i,x,y,t
965,i,x,y,t
966,i,x,y,t
967,i,x,y,t
968,i,x,y,t
969,i,x,y,t
970,i,x,y,t
971,i,x,y,t
972,i,x,y,t
973,i,x,y,t
974,i,x,y,t
975,i,x,y,t
976,i,x,y,t
977,i,x,y,t
978,i,x,y,t
979,i,x,y,t
980,i,x,y,t
981,i,x,y,t
982,i,x,y,t
983,i,x,y,t
984,i,x,y,t
985,i,x,y,t
986,i,x,y,t
987,i,x,y,t
988,i,x,y,t
989,i,x,y,t
990,i,x,y,t
991,i,x,y,t
992,i,x,y,t
993,i,x,y,t
994,i,x,y,t
995,i,x,y,t
996,i,x,y,t
997,i,x,y,t
998,i,x,y,t
999,i,x,y,t
1000,i,x,y,t
